Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,9/23/2021,9/23/2021 0:00,109.63,ALL OTHER MISCELLANEOUS MANUFACTURING,4554920511!VIAL SCINT 20ML HDPE 500/CS
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/14/2021,9/14/2021 0:00,4128.4,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554768309!SENSOR PULSE OXIMETRY DISPOSABLE REFURBI
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,4/6/2021,4/6/2021 0:00,812.28,PERISHABLE PREPARED FOOD MANUFACTURING,"4553064287!APPLES, FRESH,"
ATLANTIC DIVING SUPPLY INCORPORATED,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIRGINIA BEACH,1/27/2021,1/27/2021 0:00,172.9,ALL OTHER MISCELLANEOUS MANUFACTURING,"GLOVES,MEN' S AND WOMEN' S SIZE X-SMALL, U/I PG (5 PAIR PER PG). PG/5PR. MECHANIX WEAR GVMP-PKF55-07, CAMELBAK IMPACT CT GLOVES MPCT05-07 OR EQUAL"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,4/9/2021,4/9/2021 0:00,175.5,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553105274!KIT CATHETER SUCTION 14FR W/CONTROL VALV
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/2/2021,8/2/2021 0:00,442.58,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554301082!GLOVE EXM XL LF BLK-FIRE SMARTPULL NTR
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,3/5/2021,3/5/2021 0:00,161.53,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552734982!TRBO REGION 3
PHOENIX TRADING INC.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,ROCKVILLE,4/21/2021,4/21/2021 0:00,4353.75,FIBER OPTIC CABLE MANUFACTURING,"8508133203!CABLE ASSEMBLY,FIBE"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/9/2021,9/9/2021 0:00,0.4,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554715100!SPNG GZE 4X4IN ACTI-GZE 4 PLY NS
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,5/26/2021,5/26/2021 0:00,279.6,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,DISINFECTING WIPES
