contract_transaction_unique_key,contract_award_unique_key,award_id_piid,modification_number,transaction_number,parent_award_agency_id,parent_award_agency_name,parent_award_id_piid,parent_award_modification_number,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award
9700_9700_SPE2D521F3712_0_SPE2D120D7006_0,CONT_AWD_SPE2D521F3712_9700_SPE2D120D7006_9700,SPE2D521F3712,0,0,9700,DEPT OF DEFENSE,SPE2D120D7006,0,738.96,738.96,738.96,738.96
9700_-NONE-_SPE7L420V1134_P00001_-NONE-_0,CONT_AWD_SPE7L420V1134_9700_-NONE-_-NONE-,SPE7L420V1134,P00001,0,,,,,0,7266.36,0,7266.36
9700_9700_SPE4A520F2495_P00001_SPE4AX14D9413_0,CONT_AWD_SPE4A520F2495_9700_SPE4AX14D9413_9700,SPE4A520F2495,P00001,0,9700,DEPT OF DEFENSE,SPE4AX14D9413,0,0,19892.88,0,19892.88
9700_9700_SPE30021F04D0_0_SPE30020DV364_0,CONT_AWD_SPE30021F04D0_9700_SPE30020DV364_9700,SPE30021F04D0,0,0,9700,DEPT OF DEFENSE,SPE30020DV364,0,612.5,612.5,612.5,612.5
9700_9700_SPE3SU21FF3CG_0_SPE30021DS366_0,CONT_AWD_SPE3SU21FF3CG_9700_SPE30021DS366_9700,SPE3SU21FF3CG,0,0,9700,DEPT OF DEFENSE,SPE30021DS366,0,327.75,327.75,327.75,327.75
2050_8000_2091JB21F00012_0_NNG15SD06B_0,CONT_AWD_2091JB21F00012_2050_NNG15SD06B_8000,2091JB21F00012,0,0,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNG15SD06B,0,37938.41,37938.41,37938.41,37938.41
9700_-NONE-_FA488718P0168_P00006_-NONE-_0,CONT_AWD_FA488718P0168_9700_-NONE-_-NONE-,FA488718P0168,P00006,0,,,,,0,78572,0,78572
9700_9700_SP47W121F952W_0_SP47W120D0012_0,CONT_AWD_SP47W121F952W_9700_SP47W120D0012_9700,SP47W121F952W,0,0,9700,DEPT OF DEFENSE,SP47W120D0012,0,272.84,272.84,272.84,272.84
9700_9700_SPE3SU21FCRT9_0_SPE30020DS736_0,CONT_AWD_SPE3SU21FCRT9_9700_SPE30020DS736_9700,SPE3SU21FCRT9,0,0,9700,DEPT OF DEFENSE,SPE30020DS736,0,277.64,277.64,277.64,277.64
7001_-NONE-_HSHQDC12D00015_P00010_-NONE-_-NONE-,CONT_IDV_HSHQDC12D00015_7001,HSHQDC12D00015,P00010,,,,,,0,0,,
2400_-NONE-_OPM1517P0017_P00001_-NONE-_0,CONT_AWD_OPM1517P0017_2400_-NONE-_-NONE-,OPM1517P0017,P00001,0,,,,,-24205.6,3794.4,-24205.6,3794.4
4732_4732_47QSEA21F9WXJ_0_47QSEA20A0008_0,CONT_AWD_47QSEA21F9WXJ_4732_47QSEA20A0008_4732,47QSEA21F9WXJ,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A0008,PA0025,28,28,28,28
9700_9700_SPE4A521F053U_0_SPE4A216G0002_0,CONT_AWD_SPE4A521F053U_9700_SPE4A216G0002_9700,SPE4A521F053U,0,0,9700,DEPT OF DEFENSE,SPE4A216G0002,0,63.68,63.68,63.68,63.68
9700_-NONE-_W912EP16C0019_A00028_-NONE-_0,CONT_AWD_W912EP16C0019_9700_-NONE-_-NONE-,W912EP16C0019,A00028,0,,,,,30809.75,28155900.86,30809.75,28168428.81
8900_4732_89503421FWA401056_0_47QTCA20D00B5_0,CONT_AWD_89503421FWA401056_8900_47QTCA20D00B5_4732,89503421FWA401056,0,0,4732,FEDERAL ACQUISITION SERVICE,47QTCA20D00B5,PA0004,51000,51000,51000,51000
9700_9700_SPE2DX21FKM04_0_SPE2DX15D1011_0,CONT_AWD_SPE2DX21FKM04_9700_SPE2DX15D1011_9700,SPE2DX21FKM04,0,0,9700,DEPT OF DEFENSE,SPE2DX15D1011,0,20013.06,20013.06,20013.06,20013.06
9700_9700_SPE3SU21FFX6G_0_SPE30020DS353_0,CONT_AWD_SPE3SU21FFX6G_9700_SPE30020DS353_9700,SPE3SU21FFX6G,0,0,9700,DEPT OF DEFENSE,SPE30020DS353,0,47.87,47.87,47.87,47.87
9700_9700_SPE3SU21F5LU6_0_SPE30017DS310_0,CONT_AWD_SPE3SU21F5LU6_9700_SPE30017DS310_9700,SPE3SU21F5LU6,0,0,9700,DEPT OF DEFENSE,SPE30017DS310,0,168.5,168.5,168.5,168.5
9700_9700_SPE30021F1AWB_0_SPE30017DP304_0,CONT_AWD_SPE30021F1AWB_9700_SPE30017DP304_9700,SPE30021F1AWB,0,0,9700,DEPT OF DEFENSE,SPE30017DP304,0,231.83,231.83,231.83,231.83
